Subj,Age,Sex,Block,Cue_L,Cue_R,Out_C,Out_I,Norm_Rev,Resp_Key,Acc,RT,FixReps
101,19,f,34,2,3,2,1,0,75,1,1411.61674246268,0
101,19,f,34,2,4,2,1,0,77,1,750.002565788236,0
101,19,f,35,2,3,2,1,0,90,1,873.579987092853,0
101,19,f,35,2,3,2,1,0,90,1,1026.04456261088,0
101,19,f,35,1,4,1,2,0,77,1,703.24575241284,0
101,19,f,35,4,2,2,1,0,75,1,1529.72541235158,0
101,19,f,35,4,2,2,1,0,77,1,809.885952218792,0
101,19,f,35,4,2,2,1,0,77,1,714.043797101112,0
101,19,f,35,2,4,2,1,0,90,1,787.940613772662,0
101,19,f,35,1,3,1,2,0,75,1,790.829691423824,0
101,19,f,36,3,2,2,1,0,65,1,752.322944003026,0
101,19,f,36,4,1,1,2,0,65,1,783.269671596827,0
101,19,f,36,3,1,1,2,0,77,1,984.777328815653,0
101,19,f,36,3,1,1,2,0,90,1,1017.91614520789,0
101,19,f,36,4,2,2,1,0,65,1,948.171075898244,0
101,19,f,36,4,2,2,1,0,75,1,849.220996479744,0
101,19,f,36,4,1,1,2,0,77,1,602.364389031209,0
101,19,f,36,2,4,2,1,0,77,1,744.014921417147,0
101,19,f,37,1,3,1,2,0,65,1,981.337361318765,0
101,19,f,37,1,3,1,2,0,75,1,772.743902329239,0
101,19,f,37,2,3,2,1,0,75,1,926.204909289481,0
101,19,f,37,2,3,2,1,0,75,1,726.675625795906,0
101,19,f,37,3,2,2,1,0,90,1,910.538809510399,0
101,19,f,37,2,3,2,1,0,75,1,780.462699172858,0
101,19,f,37,4,1,1,2,0,77,1,693.998953158371,0
101,19,f,37,3,2,2,1,0,75,1,1084.84156408031,0
101,19,f,38,1,3,1,2,0,65,1,745.829990261882,0
101,19,f,38,1,4,1,2,0,77,1,943.13579178106,0
101,19,f,38,2,4,2,1,0,75,1,734.173462987201,0
101,19,f,38,4,1,1,2,0,77,1,892.588252552741,0
101,19,f,38,3,1,1,2,0,65,1,754.136503561313,0
101,19,f,38,2,4,2,1,0,77,1,674.373691070286,0
101,19,f,38,1,4,1,2,0,75,1,787.57023468188,0
101,19,f,38,2,4,2,1,0,77,0,614.68983241502394,0
101,19,f,39,2,4,2,1,0,77,1,779.246213651277,0
101,19,f,39,4,2,2,1,0,90,1,842.889536473194,0
101,19,f,39,4,1,1,2,0,75,1,680.86332437997,0
101,19,f,39,3,1,1,2,0,90,1,815.642675639538,0
101,19,f,39,2,4,2,1,0,77,1,857.13539695189,0
101,19,f,39,2,3,2,1,0,65,1,775.664071296887,0
101,19,f,39,4,1,1,2,0,65,1,723.900046546078,0
101,19,f,39,3,2,2,1,0,90,1,911.393066092387,0
101,19,f,40,2,3,2,1,0,75,1,843.145813448245,0
101,19,f,40,1,4,1,2,0,90,1,726.718791411258,0
101,19,f,40,1,3,1,2,0,77,1,525.198456180078,0
101,19,f,40,4,1,1,2,0,65,1,855.080653292134,0
101,19,f,40,1,3,1,2,0,75,1,830.572243241477,0
101,19,f,40,1,4,1,2,0,65,1,885.77985777647,0
101,19,f,40,1,4,1,2,0,77,1,781.792079381376,0
101,19,f,40,3,2,2,1,0,90,1,1062.92248723366,0
101,19,f,41,3,1,1,2,1,77,1,665.706156261876,0
101,19,f,41,3,1,1,2,1,77,1,447.944380953231,0
101,19,f,41,2,3,2,1,1,65,1,931.22932653841406,0
101,19,f,41,3,2,2,1,0,65,1,670.407284183057,0
101,19,f,41,2,3,2,1,1,77,1,685.265613425145,0
101,19,f,41,3,1,1,2,0,75,1,821.433207096561,0
101,19,f,41,2,4,2,2,1,65,1,705.655480433052,0
101,19,f,41,4,1,1,2,0,77,1,667.353996079328,0
101,19,f,42,2,4,2,1,0,90,1,1148.49484819842,0
101,19,f,42,4,1,1,2,0,75,1,733.912960008638,0
101,19,f,42,3,1,1,2,1,90,1,803.522193465142,0
101,19,f,42,4,1,2,1,1,65,1,784.710437204012,0
101,19,f,42,3,1,1,2,1,77,1,617.521859007866,0
101,19,f,42,4,2,2,1,0,65,1,760.121733072992,0
101,19,f,42,2,4,2,2,1,75,1,1284.97637361761,0
101,19,f,42,1,3,1,2,0,75,1,1717.12878023573,0
101,19,f,43,1,3,1,1,1,77,1,602.09271732765,0
101,19,f,43,4,2,2,1,1,77,1,751.713191955787,0
101,19,f,43,3,2,1,2,1,65,1,715.242171176214,0
101,19,f,43,4,2,2,1,0,77,1,875.742795719816,0
101,19,f,43,3,1,1,2,0,90,1,1046.93279626918,0
101,19,f,43,1,4,1,2,1,77,1,830.805277192667,0
101,19,f,43,3,2,2,1,0,77,1,1056.68249003429,0
101,19,f,43,1,4,1,2,1,90,1,1029.18146522825,0
101,19,f,44,1,4,1,2,0,65,1,763.654370804943,0
101,19,f,44,4,2,2,1,0,75,1,968.006128913657,0
101,19,f,44,4,2,2,1,1,77,1,595.366729634407,0
101,19,f,44,3,2,1,2,1,90,1,888.287991326251,0
101,19,f,44,3,1,1,2,1,75,1,1528.75886479887,0
101,19,f,44,2,3,2,1,0,65,1,684.852974291971,0
101,19,f,44,1,3,1,1,1,65,1,721.787044399207,0
101,19,f,44,1,4,1,2,0,77,1,974.981752717213,0
101,19,f,45,4,1,1,2,0,75,1,873.525049036289,0
101,19,f,45,1,3,1,1,1,77,0,927.359815890668,0
101,19,f,45,1,4,1,2,1,75,1,1701.80830723803,0
101,19,f,45,3,2,2,1,0,75,1,1672.58639311149,0
101,19,f,45,4,2,2,1,1,75,1,874.635582593328,0
101,19,f,45,4,1,2,1,1,75,1,821.153083383251,0
101,19,f,45,1,4,1,2,1,90,1,859.083886789449,0
101,19,f,45,3,1,1,2,0,75,1,962.96812807941,0
101,19,f,46,1,3,1,2,0,75,1,1656.84905497437,0
101,19,f,46,2,4,2,1,0,65,1,911.506262636067,0
101,19,f,46,2,4,2,2,1,75,1,672.702004514576,0
101,19,f,46,2,3,2,1,1,75,1,782.002172166358,0
101,19,f,46,4,1,1,2,0,65,1,666.496720922623,0
101,19,f,46,2,3,2,1,0,90,1,992.016474171578,0
101,19,f,46,3,2,1,2,1,90,1,925.702618492323,0
101,19,f,46,4,2,2,1,1,77,1,937.419517256785,0
101,19,f,47,2,3,2,1,1,90,1,1117.50465313253,0
101,19,f,47,1,3,1,2,0,90,1,774.091092126582,0
101,19,f,47,1,3,1,1,1,77,1,632.662424965929,0
101,19,f,47,1,3,1,2,0,65,1,797.395694668012,0
101,19,f,47,4,1,2,1,1,65,1,771.556696980042,0
101,19,f,47,4,1,1,2,0,90,1,1584.9466104728,0
101,19,f,47,2,3,2,1,0,77,1,775.082995705816,0
101,19,f,47,1,4,1,2,0,90,1,780.688186688167,0
101,19,f,48,4,1,2,1,1,75,1,990.781877203517,0
101,19,f,48,2,3,2,1,0,65,1,1004.60755211134,0
101,19,f,48,4,1,2,1,1,75,1,788.484259039251,0
101,19,f,48,1,4,1,2,1,77,1,651.377888701063,0
101,19,f,48,2,3,2,1,0,65,1,598.975435444117,0
101,19,f,48,3,2,2,1,0,65,1,957.72576975105,0
101,19,f,48,3,2,1,2,1,90,1,841.193701321572,0
101,19,f,48,1,4,1,2,0,65,1,860.169064319962,0
101,19,f,49,1,4,1,2,0,90,1,712.689966439939,0
101,19,f,49,2,4,2,1,0,65,1,697.681010328779,0
101,19,f,49,2,4,2,2,1,77,1,925.63047456224,0
101,19,f,49,3,2,2,1,0,77,1,1048.98814364333,0
101,19,f,49,1,3,1,2,0,65,1,576.212063310777,0
101,19,f,49,3,2,1,2,1,75,1,792.791462989044,0
101,19,f,49,4,2,2,1,0,90,1,1351.30622774159,0
101,19,f,49,2,4,2,1,0,90,1,618.259900471458,0
101,19,f,50,2,3,2,1,1,77,0,1022.36492030079,0
101,19,f,50,1,3,1,1,1,77,1,1201.46418974491,0
101,19,f,50,3,1,1,2,0,75,1,1029.3308846658,0
101,19,f,50,3,1,1,2,0,65,1,789.822694971917,0
101,19,f,50,4,2,2,1,1,90,1,1162.74402910858,0
101,19,f,50,2,4,2,1,0,77,1,1038.87893765568,0
101,19,f,50,4,2,2,1,0,65,1,754.412703127855,0
101,19,f,50,2,4,2,2,1,65,1,883.347188590051,0
101,19,f,51,2,3,2,1,0,65,1,1353.28550703889,0
101,19,f,51,3,1,1,2,0,65,1,714.297055501447,0
